facility_id,fiscal_year,facility_name,state_code,ownership_group,emma_fallback_status,emma_fallback_type,emma_fallback_url,emma_fallback_search_term,emma_fallback_cusip_query,emma_fallback_cusip9,emma_fallback_issue_id,emma_fallback_issue_desc,emma_fallback_issuer_name,emma_fallback_match_basis,emma_fallback_outstanding_filter_applied,emma_fallback_error,searched_at_utc,elapsed_ms
021307,2023,CORDOVA COMMUNITY MEDICAL CENTER,AK,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:23:37.418772+00:00,2409
021304,2023,PETERSBURG MEDICAL CENTER,AK,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:23:38.475635+00:00,1011
021302,2023,PROVIDENCE SEWARD MEDICAL & CARE CEN,AK,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=011903CM1,PROVIDENCE,011903CM1,011903CM1,MS30324,REV BDS PROVIDENCE HLTH AND SERVICES F/K/A HLTH SYS & SERVICES 2006H,ALASKA INDL DEV & EXPT AUTH REV,active_issue_final_scale_ocr,True,,2026-02-27T22:23:44.758299+00:00,6237
021301,2023,PROVIDENCE VALDEZ MEDICAL CENTER,AK,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=011903CM1,PROVIDENCE,011903CM1,011903CM1,MS30324,REV BDS PROVIDENCE HLTH AND SERVICES F/K/A HLTH SYS & SERVICES 2006H,ALASKA INDL DEV & EXPT AUTH REV,active_issue_final_scale_ocr,True,,2026-02-27T22:23:48.381191+00:00,3582
021312,2023,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:23:49.122816+00:00,699
021313,2023,SOUTH PENINSULA HOSPITAL,AK,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:23:50.053687+00:00,886
021305,2023,WRANGELL MEDICAL CENTER,AK,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:23:50.903902+00:00,806
014018,2023,BEHAVIORAL HEALTH CENTERS,AL,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:23:51.531147+00:00,583
010164,2023,COOSA VALLEY MEDICAL CENTER,AL,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=871244AA7,COOSA VALLEY MEDICAL CENTER,871244AA7,871244AA7,MS279963,HOSP REV BDS COOSA VALLEY MED CTR 2005-A,SYLACAUGA ALA HEALTH CARE AUTH REV,active_issue_final_scale_ocr,True,,2026-02-27T22:23:55.292902+00:00,3721
010097,2023,ELMORE COMMUNITY HOSPITAL,AL,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=289758AS8,ELMORE,289758AS8,289758AS8,87CB87DD91B28834E15CF142AA03E30D,WTS,ELMORE CNTY ALA,active_issue_final_scale_ocr,True,,2026-02-27T22:23:59.372637+00:00,4039
010091,2023,GROVE HILL MEMORIAL HOSPITAL,AL,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=39958TAAA,GROVE HILL MEMORIAL HOSPITAL,39958TAAA,39958TAAA,1E4AA75C0C290E1CCF4B584FD063054B,SCH WTS,GROVE HILL ALA LTD OBLIG,active_issue_final_scale_ocr,True,,2026-02-27T22:24:10.940010+00:00,11523
010168,2023,JACK HUGHSTON MEMORIAL HOSPITAL,AL,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:24:11.872148+00:00,888
010052,2023,LAKE MARTIN COMMUNITY HOSPITAL,AL,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=51015HAC2,LAKE MARTIN COMMUNITY HOSPITAL,51015HAC2,51015HAC2,AFA3EBCAF856FC2CBFA224DD914DD223,SER A,LAKE MARTIN ALA AREA INDL DEV AUTH INDL REV,active_issue_final_scale_ocr,True,,2026-02-27T22:24:20.354888+00:00,8439
010150,2023,REGIONAL MEDICAL CTR OF CENTRAL AL,AL,not_for_profit,found,cusip,https://emma.msrb.org/QuickSearch/Transfer?quickSearchText=153416AA0,CENTRAL AL,153416AA0,153416AA0,MS54997,REV BDS 2001,CENTRAL ELMORE ALA WTR & SWR AUTH REV,active_issue_final_scale_ocr,True,,2026-02-27T22:24:26.498288+00:00,6098
013033,2023,REGIONAL REHABILITATION HOSPITAL,AL,not_for_profit,not_found,none,,,,,,,,no_active_issue_candidates,True,,2026-02-27T22:24:26.769759+00:00,230
