fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2023,Unmapped / Independent,28657026939.0,76571461892.65,16196426235.02,12460600703.98,146247041888.75,209854116133.94,48113969281.6,299589500002.0,1483,51,105228488831.65,251475530720.4,0.3512422459096447,0.48815810262967724,0.700472199901996,0.839400348539322
2018,Unmapped / Independent,22633497882.0,79838290854.43001,12709420656.39,9924077225.61,103241646129.64,164127829511.25,33422038824.93,239135473691.0,1704,51,102471788736.43001,205713434866.07,0.42850935979845217,0.4317286956055887,0.6863382792104217,0.8602380554040409
2017,Unmapped / Independent,22630910289.0,79388423345.73,12712017111.67,9918893177.33,98067637333.74,158704452890.69,31583057447.53,231670028416.0,1767,51,102019333634.73,200086970968.47,0.4403648341232049,0.42330739977138576,0.6850452515407439,0.8636722338945906
2016,Unmapped / Independent,22401587237.0,78560340973.65,12570961485.85,9830625751.15,93392009884.95,153401387848.21,30489157558.4,224843095654.0,1815,51,100961928210.65,194353938095.59998,0.4490328151593116,0.4153652555498808,0.6822597216161436,0.8643980707091923
2022,Unmapped / Independent,25714030326.0,73834925105.8,14620217509.33,11093812816.67,135777086438.09,195671817990.95,43708608925.09,279034650795.0,1509,51,99548955431.8,235326041869.89,0.3567619833170333,0.4865957903480673,0.7012455887950109,0.8433577736651007
2019,Unmapped / Independent,23056897864.0,76119751572.61,12926945658.33,10129952205.67,107356963771.2,166515500534.18,34659915829.19,241193529037.0,1651,51,99176649436.61,206533613207.81,0.4111911701470064,0.44510714777398125,0.690381293391316,0.8562983179209877
2015,Unmapped / Independent,21723556839.0,77202205575.67,12211431737.82,9512125101.18,88706455491.36,147460336187.43,28835696696.97,216467914603.0,1863,51,98925762414.67,187632217906.03,0.45699965556604016,0.4097903176738537,0.6812110536467761,0.8667899732398938
2021,Unmapped / Independent,24220367923.0,72832717069.95,13750550529.64,10469817393.36,125215568970.26,183438839301.2,40212696784.79,262481350748.0,1543,51,97053084992.95,222268653963.21,0.3697523070358152,0.47704558290876625,0.6988642765607901,0.8467978899445815
2014,Unmapped / Independent,20313141421.0,74752604185.62,11440169097.02,8872972323.98,85113039124.78,141461827492.55,27645885101.6,207824669833.0,1909,51,95065745606.62,180178784731.4,0.45743243900260355,0.4095425205928324,0.680678706749412,0.8669749595954359
2020,Unmapped / Independent,21789448442.0,72017267043.33,12319917051.4,9469531390.6,111578749013.18,167530332218.6,35785398732.49,241170863231.0,1577,51,93806715485.33,205385464498.51,0.3889637173769179,0.46265435019116236,0.6946541135781187,0.8516180675680803
