facility_id,facility_name,street_address,city,state_code,zip_code,county,facility_type,provider_type,ownership_type,ownership_group,fiscal_year,source_fy_end_date,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_method,total_days,medicare_days,medicaid_days,chain_name,chain_confidence,federal_medicaid_share,federal_medicaid_revenue,state_medicaid_revenue,medicare_dependency,medicaid_dependency,public_dependency
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,STH,1,For-profit Corporation,for_profit,2023,2023-09-30,435666482.0,95539479.13,24852668.0,315274334.87,anchor_plus_days_share,80964.0,17755.0,9748.0,Unmapped / Independent,low,0.7263,18050492.77,6802175.23,0.21929499531708294,0.05704516878578692,0.2763401641028699
010005,MARSHALL MEDICAL CENTERS SOUTH,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,STH,1,Tribal,government,2023,2023-09-30,199663299.0,53153651.62,27761546.0,118748101.38,anchor_plus_days_share,24728.0,6583.0,4135.0,Unmapped / Independent,low,0.7263,20163210.86,7598335.14,0.26621643479906637,0.13904180757826706,0.4052582423773335
010007,MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,OPP,AL,36462-,COVINGTON,STH,1,For-profit Corporation,for_profit,2023,2023-09-30,20060743.0,5564372.09,1608900.0,12887470.91,anchor_plus_days_share,3735.0,1036.0,625.0,Unmapped / Independent,low,0.7263,1168544.07,440355.93,0.2773761714608477,0.08020141626857988,0.35757758772942755
010008,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,STH,1,For-profit Corporation,for_profit,2023,2023-09-30,10690770.0,3684903.7,814237.0,6191629.3,anchor_plus_days_share,1410.0,486.0,294.0,Unmapped / Independent,low,0.7263,591380.33,222856.67,0.34468085086481143,0.07616261504082493,0.42084346590563637
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,STH,1,Government City,government,2023,2023-12-31,158264421.0,35327814.0,7609615.0,115326992.0,anchor_plus_days_share,25209.0,5467.0,1651.0,Unmapped / Independent,low,0.7263,5526863.37,2082751.63,0.22322018920474868,0.048081653172067015,0.2713018423768157
010018,CALLAHAN EYE FOUNDATION HOSP,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,STH,1,Partnership,for_profit,2023,2023-09-30,97198126.0,17065319.83,3680297.0,76452509.17,anchor_plus_days_share,262.0,46.0,12.0,Unmapped / Independent,low,0.7263,2672999.71,1007297.29,0.17557251906276464,0.037863867869222086,0.21343638693198672
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,STH,1,Tribal,government,2023,2023-09-30,93652837.0,30449844.64,8799939.0,54403053.36,anchor_plus_days_share,21062.0,6848.0,4318.0,Unmapped / Independent,low,0.7263,6391395.7,2408543.3,0.3251353148009814,0.09396340016907336,0.4190987149700548
010021,DALE MEDICAL CENTER,126 HOSPITAL,OZARK,AL,36360-,DALE,STH,1,For-profit Corporation,for_profit,2023,2023-09-30,33795241.0,4759587.0,3055005.0,25980649.0,anchor_plus_days_share,6220.0,876.0,1675.0,Unmapped / Independent,low,0.7263,2218850.13,836154.87,0.14083601297590984,0.0903974911733874,0.23123350414929725
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,CENTRE,AL,35960-,CHEROKEE,STH,1,Government State,government,2023,2023-12-31,15463745.0,2008728.35,2670935.0,10784081.65,anchor_plus_days_share,4465.0,580.0,1947.0,Unmapped / Independent,low,0.7263,1939900.09,731034.91,0.12989921587558512,0.1727223903394682,0.3026216062150533
010024,JACKSON HOSPITAL AND CLINIC  INC,1725 PINE STREET,MONTGOMERY,AL,36106-1109,MONTGOMERY,STH,1,Government State,government,2023,2023-12-31,292053148.0,61317534.96,13811084.0,216924529.04,anchor_plus_days_share,59156.0,12420.0,8840.0,Unmapped / Independent,low,0.7263,10030990.31,3780093.69,0.20995334369756563,0.047289625517065136,0.2572429692146308
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PKWY,OPELIKA,AL,36802-,LEE,STH,1,For-profit Corporation,for_profit,2023,2023-09-30,419127092.0,91906101.6,28445363.0,298775627.4,anchor_plus_days_share,64648.0,14176.0,13914.0,Unmapped / Independent,low,0.7263,20659867.15,7785495.85,0.2192797921065909,0.06786810860701889,0.2871479007136098
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,STH,1,Partnership,for_profit,2023,2023-09-30,2534353450.0,373656838.87,201818578.0,1958878033.13,anchor_plus_days_share,262811.0,38748.0,84184.0,Unmapped / Independent,low,0.7263,146580833.2,55237744.8,0.14743675112482832,0.07963316166496034,0.22706991278978866
010034,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,TALLASSEE,AL,36078,ELMORE,STH,1,Government State,government,2023,2023-09-30,16272299.0,4044310.11,913858.0,11314130.89,anchor_plus_days_share,1883.0,468.0,336.0,Unmapped / Independent,low,0.7263,663735.07,250122.93,0.2485395646921188,0.056160349560931744,0.3046999142530505
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,STH,1,Government City,government,2023,2023-09-30,165166279.0,33099703.14,10365535.0,121701040.86,anchor_plus_days_share,33308.0,6675.0,6502.0,Unmapped / Independent,low,0.7263,7528488.07,2837046.93,0.2004023057273089,0.0627581795918524,0.2631604853191613
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY ST SOUTH,HAMILTON,AL,35570-,MARION,STH,1,Government State,government,2023,2023-09-30,18553479.0,8392526.85,1567457.0,8593495.15,anchor_plus_days_share,619.0,280.0,51.0,Unmapped / Independent,low,0.7263,1138444.02,429012.98,0.4523424878967443,0.08448318506733966,0.536825672964084
