fiscal_year,state_code,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,chain_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2014,AK,231587352.0,703695456.39,121398089.91,110189262.09,684056925.91,1244779940.93,244012169.7,1863351904.0,18,14,935282808.39,1619339734.3,0.5019356818120384,0.367110970526585,0.6680326664318583,0.8690466523386234
2021,AK,488174817.0,1043393419.17,255901239.09,232273577.91,790271735.97,1730269229.26,279964047.86,2601804020.0,18,14,1531568236.17,2321839972.1400003,0.5886562648058327,0.3037399165714257,0.6650267337429973,0.8923961813772585
2020,AK,449290397.0,918692177.91,235518026.09,213772370.91,699863290.0,1542111785.6,247527837.09,2315373702.0,18,14,1367982574.9099998,2067845864.9099998,0.5908258238090672,0.30226796192574185,0.6660314852276058,0.8930937857348091
2019,AK,459126111.0,922222400.43,240673907.37,218452203.63,678778481.64,1530345385.14,238740651.93,2298867645.0,19,14,1381348511.4299998,2060126993.0699997,0.6008821405766489,0.2952664469902529,0.6656952993655274,0.8961485875669017
2018,AK,383004092.0,927439782.9,200770745.04999998,182233346.95000002,704798208.96,1502143158.56,240062570.14000002,2255304654.0,18,14,1310443874.9,2015242083.8600001,0.5810496034652355,0.31250687471866495,0.6660488887369626,0.8935564781839005
2023,AK,486648417.0,1238027045.81,255101100.2,231547316.8,846296021.34,1892197209.29,295006102.85,2865977587.0,18,14,1724675462.81,2570971484.15,0.6017756281950993,0.2952905232681431,0.6602274971977999,0.8970661514632424
2017,AK,390346205.0,842278334.0,204619480.67000002,185726724.32999998,626297333.1800001,1382310070.63,224802812.82,2083724685.0,17,14,1232624539.0,1858921872.18,0.5915486570146382,0.3005662589153423,0.6633842179731149,0.8921149159299805
2016,AK,324807471.0,846577106.23,170264076.32,154543394.68,656011719.78,1365234731.46,232040219.98999998,2059436517.0,17,14,1171384577.23,1827396297.01,0.568788873830579,0.31853942297557114,0.6629166377261048,0.8873282968061501
2015,AK,268097630.0,784789362.44,140536777.62,127560852.38,666760644.1700001,1299468016.03,239915490.39,1959563127.0,17,14,1052886992.44,1719647636.6100001,0.5373070037564551,0.3402598441371877,0.6631416962919817,0.8775668478936428
2022,AK,487372950.0,1136896580.24,255480900.38,231892049.62,795505671.78,1786328503.42,280101645.98,2699876848.0,18,14,1624269530.24,2419775202.02,0.6016087479853822,0.2946451696007136,0.6616333277361398,0.8962539175860957
2018,AL,727545431.0,3622086112.9700003,528416246.51,199129184.48999998,6090508433.64,8628314868.99,1566452722.39,12006592700.0,112,37,4349631543.97,10440139977.61,0.36227026706502674,0.5072636830297409,0.7186314289640224,0.8695339500947675
2023,AL,998921411.0,3090032481.61,725516620.79,273404790.21,9286606038.01,11735314961.16,2197754482.38,15573314413.0,106,36,4088953892.61,13375559930.62,0.2625615706568346,0.596315324518068,0.7535528179771297,0.8588768951749026
2020,AL,857749048.0,3532578903.56,622983133.5600001,234765914.44,7064845390.320001,9651075573.25,1734056969.1200001,13189230311.0,110,37,4390327951.559999,11455173341.880001,0.3328721879925325,0.5356525910710516,0.7317391042296737,0.868524779063584
2014,AL,619284202.0,3964628278.37,449786115.92,169498086.07999998,4864629184.27,7509637888.88,1238182672.36,10686724337.0,113,37,4583912480.37,9448541664.64,0.42893522241416826,0.4552030192663891,0.7027071768736314,0.8841382416805573
2021,AL,855450089.0,3441466394.6,621313399.63,234136689.37,8463078572.13,10997472655.93,1967975981.27,14727971037.0,108,36,4296916483.6,12759995055.73,0.2917521003270018,0.5746262367619294,0.7467065645567782,0.8663783370889311
2019,AL,813167107.0,3696514802.52,590603269.81,222563837.19,6695577524.31,9338535995.92,1698115738.17,12903375172.0,110,37,4509681909.52,11205259433.830002,0.34949630227801926,0.5189012514213518,0.7237281619296313,0.8683975536993711
2022,AL,976311784.0,3262382701.0,709095248.72,267216535.28,8661425657.66,11187969981.24,2101158479.3400002,15001278622.0,103,36,4238694485.0,12900120142.66,0.2825555468841021,0.5773791605308669,0.7458010922370562,0.859934707414969
