state_name,fmap_percent,state_code,federal_share,fiscal_year
Alabama,72.63,AL,0.7263,2026
Alaska,52.42,AK,0.5242,2026
Arizona,64.34,AZ,0.6434000000000001,2026
Arkansas,69.23,AR,0.6923,2026
California,50.0,CA,0.5,2026
Colorado,50.0,CO,0.5,2026
Connecticut,50.0,CT,0.5,2026
Delaware,59.41,DE,0.5941,2026
District of Columbia,70.0,DC,0.7,2026
Florida,57.22,FL,0.5722,2026
Georgia,66.4,GA,0.664,2026
Hawaii,59.68,HI,0.5968,2026
Idaho,66.91,ID,0.6690999999999999,2026
Illinois,51.82,IL,0.5182,2026
Indiana,64.74,IN,0.6474,2026
Iowa,62.7,IA,0.627,2026
Kansas,60.67,KS,0.6067,2026
Kentucky,71.41,KY,0.7141,2026
Louisiana,67.83,LA,0.6783,2026
Maine,61.29,ME,0.6129,2026
Maryland,50.0,MD,0.5,2026
Massachusetts,50.0,MA,0.5,2026
Michigan,65.3,MI,0.653,2026
Minnesota,50.68,MN,0.5068,2026
Mississippi,76.9,MS,0.769,2026
Missouri,64.44,MO,0.6444,2026
Montana,61.47,MT,0.6147,2026
Nebraska,55.94,NE,0.5594,2026
Nevada,59.8,NV,0.598,2026
New Hampshire,50.0,NH,0.5,2026
New Jersey,50.0,NJ,0.5,2026
New Mexico,71.66,NM,0.7166,2026
New York,50.0,NY,0.5,2026
North Carolina,64.62,NC,0.6462,2026
North Dakota,50.99,ND,0.5099,2026
Ohio,64.85,OH,0.6485,2026
Oklahoma,66.47,OK,0.6647,2026
Oregon,57.75,OR,0.5775,2026
Pennsylvania,56.06,PA,0.5606,2026
Rhode Island,57.5,RI,0.575,2026
South Carolina,69.53,SC,0.6953,2026
South Dakota,51.01,SD,0.5101,2026
Tennessee,64.16,TN,0.6416,2026
Texas,59.83,TX,0.5982999999999999,2026
Utah,62.46,UT,0.6246,2026
Vermont,59.01,VT,0.5901,2026
Virginia,50.39,VA,0.5039,2026
Washington,50.0,WA,0.5,2026
West Virginia,74.22,WV,0.7422,2026
Wisconsin,60.68,WI,0.6068,2026
Wyoming,50.0,WY,0.5,2026
