state_code,insurer_id,insurer_name,covered_lives,premium,claims,fiscal_year,source_file_year,confidence_tier,data_source,market_share_lives,market_share_premium,market_share_claims
AK,47570,Premera Blue Cross,94751.0,891519531.0,810019000.0,2019,2019,B,CMS MLR PUF 2019,0.953987575638586,0.9560277410093578,0.9572846097556894
AK,60054,Aetna Life Insurance Company,2922.0,25949046.749999996,22643167.180000003,2019,2019,B,CMS MLR PUF 2019,0.029419760171564925,0.027826657390132615,0.026759811137194483
AK,47098,"Moda Health Plan, Inc.",863.0,7118150.0,5980495.342869884,2019,2019,B,CMS MLR PUF 2019,0.008688998298446451,0.007633202221641244,0.007067780077312897
AK,79413,UnitedHealthcare Insurance Company,687.0,7838579.17,7469683.83,2019,2019,B,CMS MLR PUF 2019,0.006916966200501405,0.00840575991443771,0.008827710671231087
AK,70106,The United States Life Ins. Co. in the City of New York,96.0,74155.0,50842.93722592536,2019,2019,B,CMS MLR PUF 2019,0.0009665629625154801,7.95206775279822e-05,6.008644404779761e-05
AK,62286,Golden Rule Insurance Company,2.0,25288.94,1.62,2019,2019,B,CMS MLR PUF 2019,2.013672838573917e-05,2.7118786902629493e-05,1.9145243109164314e-09
AK,60577,American Income Life Insurance Co,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,62596,Union Fidelity Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,64246,The Guardian Life Insurance Company of America,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,66281,TransAmerica Premier Life Insurance,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,66915,New York Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,67369,Cigna Health and Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,67784,Philadelphia American Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,68241,The Prudential Insurance Company of America,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,73288,Humana,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,91472,Globe Life and Accident Insurance Co,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AK,92916,United American Insurance Co,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,55433,Blue Cross and Blue Shield of Alabama,896219.0,4940356404.84,4420186067.0,2019,2019,B,CMS MLR PUF 2019,0.9572074742199224,0.9670599782114355,0.9679397454376744
AL,95322,"VIVA Health, Inc.",24174.0,105889157.0,86128707.0,2019,2019,B,CMS MLR PUF 2019,0.025819061503708808,0.02072748552329671,0.018860608459642936
AL,79413,UnitedHealthcare Insurance Company,7305.0,37700181.34,31741370.8,2019,2019,B,CMS MLR PUF 2019,0.007802111536551371,0.007379697648839632,0.006950778520698602
AL,62286,Golden Rule Insurance Company,2638.0,8607528.46,6667299.3,2019,2019,B,CMS MLR PUF 2019,0.0028175181702152657,0.001684897931013035,0.0014600163634240024
AL,16102,"Bright Health Insurance Company of Alabama, Inc.",2589.0,6108330.66,13990775.0,2019,2019,B,CMS MLR PUF 2019,0.0027651836780467486,0.001195687442545788,0.0030637233335217826
AL,95784,"UnitedHealthcare of Alabama, Inc",1941.0,7302129.58,5629590.91,2019,2019,B,CMS MLR PUF 2019,0.002073086720389625,0.0014293700077212502,0.0012327772428009976
AL,67369,Cigna Health and Life Insurance Company,661.0,2398150.0,1986805.0,2019,2019,B,CMS MLR PUF 2019,0.0007059816188446894,0.0004694306840850003,0.00043507388530354793
AL,70106,The United States Life Ins. Co. in the City of New York,419.0,151353.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.00044751331058385,2.962689670300734e-05,0.0
AL,68381,Reliance Standard Life Insurance Company,322.0,37602.0,20669.0,2019,2019,B,CMS MLR PUF 2019,0.00034391237710739786,7.360478945422172e-06,4.5261322250241126e-06
AL,78743,New Era Life Insurance Company,5.0,19543.0,9641.0,2019,2019,B,CMS MLR PUF 2019,5.340254302909905e-06,3.825483751672398e-06,2.11120232142133e-06
AL,64246,The Guardian Life Insurance Company of America,4.0,3800.0,7392.0,2019,2019,B,CMS MLR PUF 2019,4.272203442327924e-06,7.438386254083361e-07,1.6187125360384265e-06
AL,60739,American National Insurance Company,3.0,10655.25,31919.629999999997,2019,2019,B,CMS MLR PUF 2019,3.204152581745943e-06,2.085733292995309e-06,6.989814018764642e-06
AL,67784,Philadelphia American Life Insurance Company,2.0,13488.0,0.0,2019,2019,B,CMS MLR PUF 2019,2.136101721163962e-06,2.64023562618622e-06,0.0
AL,86355,Standard Life and Accident Insurance Company,2.0,884.52,8264.960000000001,2019,2019,B,CMS MLR PUF 2019,2.136101721163962e-06,1.7314214235425826e-07,1.8098747783896316e-06
AL,81132,Life of America,1.0,2537.0,179219.0,2019,2019,B,CMS MLR PUF 2019,1.068050860581981e-06,4.966101559634076e-07,3.924567667698468e-05
AL,11121,Unified Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,38245,BCS Insurance Company,0.0,24210.0,4454.0,2019,2019,B,CMS MLR PUF 2019,0.0,4.739035031877847e-06,9.753443770989114e-07
AL,60488,American General Life Insurance Company,0.0,8996.800605600954,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,1.7610967883008157e-06,0.0
AL,60577,American Income Life Insurance Co,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,62324,Freedom Life Insurance Company of America,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,62596,Union Fidelity Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,65331,Liberty National Life Insurance Co,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,66281,TransAmerica Premier Life Insurance,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,66915,New York Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,67628,Pekin Life Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,68241,The Prudential Insurance Company of America,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,68462,Reserve National Insurance Company,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,69698,New Era Life Insurance Company of the MidWest,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
AL,73288,Humana,0.0,0.0,0.0,2019,2019,B,CMS MLR PUF 2019,0.0,0.0,0.0
